name,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
Cruel Summer,Taylor Swift,0.117,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,0.552,178427,0.702,1BxfuPKGuaTgP7aM0Bbdwr,2.06e-05,9,0.105,-5.707,1,0.157,169.994,4,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,audio_features,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,0.564
Type Shit,Future,0.0215,https://api.spotify.com/v1/audio-analysis/28drn6tQo95MRvO0jQEo5C,0.64,228267,0.552,28drn6tQo95MRvO0jQEo5C,0.0,2,0.119,-5.679,1,0.129,144.941,4,https://api.spotify.com/v1/tracks/28drn6tQo95MRvO0jQEo5C,audio_features,spotify:track:28drn6tQo95MRvO0jQEo5C,0.112
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,0.0524,https://api.spotify.com/v1/audio-analysis/1VNWdmXSbaNrnWod10WIL0,0.531,244685,0.652,1VNWdmXSbaNrnWod10WIL0,1.39e-06,8,0.162,-6.249,1,0.0325,87.521,4,https://api.spotify.com/v1/tracks/1VNWdmXSbaNrnWod10WIL0,audio_features,spotify:track:1VNWdmXSbaNrnWod10WIL0,0.179
TEXAS HOLD 'EM,Beyoncé,0.588,https://api.spotify.com/v1/audio-analysis/7AYmToZ5y67fBjq4RLFbuq,0.725,235636,0.709,7AYmToZ5y67fBjq4RLFbuq,0.0,2,0.135,-6.514,1,0.072,110.024,4,https://api.spotify.com/v1/tracks/7AYmToZ5y67fBjq4RLFbuq,audio_features,spotify:track:7AYmToZ5y67fBjq4RLFbuq,0.353
My Love Mine All Mine,Mitski,0.868,https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3,0.504,137773,0.308,3vkCueOmm7xQDoJ17W1Pm3,0.135,9,0.158,-14.958,1,0.0321,113.95,4,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,audio_features,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,0.121
Stick Season,Noah Kahan,0.782,https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv,0.662,182347,0.488,0mflMxspEfB0VbI1kyLiAv,0.0,9,0.102,-6.894,1,0.0682,117.913,4,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,audio_features,spotify:track:0mflMxspEfB0VbI1kyLiAv,0.817
LUNA,Feid,0.131,https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi,0.774,196800,0.86,7bywjHOc0wSjGGbj04XbVi,0.0,7,0.116,-2.888,0,0.13,100.019,4,https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi,audio_features,spotify:track:7bywjHOc0wSjGGbj04XbVi,0.446
La Diabla,Xavi,0.255,https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf,0.751,172264,0.819,0R6NfOiLzLj4O5VbYSJAjf,0.0,11,0.236,-4.372,0,0.0409,131.842,3,https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf,audio_features,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,0.697
Cinderella,Future,0.431,https://api.spotify.com/v1/audio-analysis/0hKtu53OlIFXVuYkZwcn3o,0.876,169840,0.412,0hKtu53OlIFXVuYkZwcn3o,0.0,5,0.101,-7.74,0,0.0748,130.052,4,https://api.spotify.com/v1/tracks/0hKtu53OlIFXVuYkZwcn3o,audio_features,spotify:track:0hKtu53OlIFXVuYkZwcn3o,0.15
Madonna,Natanael Cano,0.0449,https://api.spotify.com/v1/audio-analysis/5LhI8m7n8xlQmNe3b7Rwis,0.732,187088,0.873,5LhI8m7n8xlQmNe3b7Rwis,0.000803,0,0.347,-5.965,1,0.0321,128.029,3,https://api.spotify.com/v1/tracks/5LhI8m7n8xlQmNe3b7Rwis,audio_features,spotify:track:5LhI8m7n8xlQmNe3b7Rwis,0.662
obsessed,Olivia Rodrigo,0.0219,https://api.spotify.com/v1/audio-analysis/6tNgRQ0K2NYZ0Rb9l9DzL8,0.683,170542,0.587,6tNgRQ0K2NYZ0Rb9l9DzL8,0.0,8,0.305,-5.094,1,0.0915,119.985,4,https://api.spotify.com/v1/tracks/6tNgRQ0K2NYZ0Rb9l9DzL8,audio_features,spotify:track:6tNgRQ0K2NYZ0Rb9l9DzL8,0.697
redrum,21 Savage,0.00529,https://api.spotify.com/v1/audio-analysis/52eIcoLUM25zbQupAZYoFh,0.624,270698,0.74,52eIcoLUM25zbQupAZYoFh,0.000224,2,0.5,-8.445,1,0.0481,172.089,4,https://api.spotify.com/v1/tracks/52eIcoLUM25zbQupAZYoFh,audio_features,spotify:track:52eIcoLUM25zbQupAZYoFh,0.246
FE!N (feat. Playboi Carti),Travis Scott,0.0316,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,0.569,191701,0.882,42VsgItocQwOQC3XWZ8JNA,0.0,3,0.142,-2.777,0,0.06,148.038,4,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,audio_features,spotify:track:42VsgItocQwOQC3XWZ8JNA,0.201
LA FALDA,Myke Towers,0.372,https://api.spotify.com/v1/audio-analysis/7iUtQNMRB8ZkKC4AmEuCJC,0.8,174230,0.738,7iUtQNMRB8ZkKC4AmEuCJC,0.00877,7,0.19,-4.26,1,0.0691,103.008,4,https://api.spotify.com/v1/tracks/7iUtQNMRB8ZkKC4AmEuCJC,audio_features,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,0.267
Saturn,SZA,0.62,https://api.spotify.com/v1/audio-analysis/1bjeWoagtHmUKputLVyDxQ,0.411,186192,0.619,1bjeWoagtHmUKputLVyDxQ,0.0,1,0.11,-6.834,1,0.0368,177.937,4,https://api.spotify.com/v1/tracks/1bjeWoagtHmUKputLVyDxQ,audio_features,spotify:track:1bjeWoagtHmUKputLVyDxQ,0.337
I Wanna Be Yours,Arctic Monkeys,0.136,https://api.spotify.com/v1/audio-analysis/5XeFesFbtLpXzIVDNQP22n,0.464,183956,0.417,5XeFesFbtLpXzIVDNQP22n,0.022,0,0.0974,-9.345,0,0.0256,67.528,4,https://api.spotify.com/v1/tracks/5XeFesFbtLpXzIVDNQP22n,audio_features,spotify:track:5XeFesFbtLpXzIVDNQP22n,0.479
Scared To Start,Michael Marcagi,0.384,https://api.spotify.com/v1/audio-analysis/3Pbp7cUCx4d3OAkZSCoNvn,0.527,159636,0.551,3Pbp7cUCx4d3OAkZSCoNvn,2.75e-06,7,0.403,-11.258,1,0.0345,148.035,4,https://api.spotify.com/v1/tracks/3Pbp7cUCx4d3OAkZSCoNvn,audio_features,spotify:track:3Pbp7cUCx4d3OAkZSCoNvn,0.443
Water,Tyla,0.0856,https://api.spotify.com/v1/audio-analysis/5aIVCx5tnk0ntmdiinnYvw,0.673,200256,0.722,5aIVCx5tnk0ntmdiinnYvw,0.0,3,0.137,-3.495,0,0.0755,117.187,4,https://api.spotify.com/v1/tracks/5aIVCx5tnk0ntmdiinnYvw,audio_features,spotify:track:5aIVCx5tnk0ntmdiinnYvw,0.519
"yes, and?",Ariana Grande,0.194,https://api.spotify.com/v1/audio-analysis/5D34wRmbFS29AjtTOP2QJe,0.785,214994,0.766,5D34wRmbFS29AjtTOP2QJe,7.57e-05,1,0.107,-6.551,1,0.0503,119.029,4,https://api.spotify.com/v1/tracks/5D34wRmbFS29AjtTOP2QJe,audio_features,spotify:track:5D34wRmbFS29AjtTOP2QJe,0.804
Corazón de Piedra,Xavi,0.0354,https://api.spotify.com/v1/audio-analysis/0dEAiKNbHt4mrjjoiL0loc,0.834,193568,0.763,0dEAiKNbHt4mrjjoiL0loc,2.33e-06,2,0.273,-5.475,1,0.0835,134.844,3,https://api.spotify.com/v1/tracks/0dEAiKNbHt4mrjjoiL0loc,audio_features,spotify:track:0dEAiKNbHt4mrjjoiL0loc,0.633
Lovin On Me,Jack Harlow,0.0026,https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU,0.943,138411,0.558,4xhsWYTOGcal8zt0J161CU,2.19e-06,2,0.0937,-4.911,1,0.0568,104.983,4,https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU,audio_features,spotify:track:4xhsWYTOGcal8zt0J161CU,0.606
Houdini,Dua Lipa,0.0036,https://api.spotify.com/v1/audio-analysis/4OMJGnvZfDvsePyCwRGO7X,0.744,185918,0.789,4OMJGnvZfDvsePyCwRGO7X,0.00144,9,0.0947,-4.876,0,0.059,116.985,4,https://api.spotify.com/v1/tracks/4OMJGnvZfDvsePyCwRGO7X,audio_features,spotify:track:4OMJGnvZfDvsePyCwRGO7X,0.866
Unwritten,Natasha Bedingfield,0.00584,https://api.spotify.com/v1/audio-analysis/3U5JVgI2x4rDyHGObzJfNf,0.706,259333,0.8,3U5JVgI2x4rDyHGObzJfNf,0.0,5,0.0822,-6.333,1,0.0399,100.011,4,https://api.spotify.com/v1/tracks/3U5JVgI2x4rDyHGObzJfNf,audio_features,spotify:track:3U5JVgI2x4rDyHGObzJfNf,0.629
The Night We Met,Lord Huron,0.969,https://api.spotify.com/v1/audio-analysis/0QZ5yyl6B6utIWkxeBDxQN,0.545,208212,0.366,0QZ5yyl6B6utIWkxeBDxQN,0.267,2,0.641,-9.51,1,0.0378,86.997,3,https://api.spotify.com/v1/tracks/0QZ5yyl6B6utIWkxeBDxQN,audio_features,spotify:track:0QZ5yyl6B6utIWkxeBDxQN,0.1
intro (end of the world),Ariana Grande,0.671,https://api.spotify.com/v1/audio-analysis/2o1pb13quMReXZqE7jWsgq,0.501,92400,0.373,2o1pb13quMReXZqE7jWsgq,0.0,10,0.177,-9.488,1,0.0493,84.682,4,https://api.spotify.com/v1/tracks/2o1pb13quMReXZqE7jWsgq,audio_features,spotify:track:2o1pb13quMReXZqE7jWsgq,0.38
Magnetic,ILLIT,0.257,https://api.spotify.com/v1/audio-analysis/1aKvZDoLGkNMxoRYgkckZG,0.797,160688,0.668,1aKvZDoLGkNMxoRYgkckZG,0.0,6,0.0876,-5.819,1,0.0687,131.067,4,https://api.spotify.com/v1/tracks/1aKvZDoLGkNMxoRYgkckZG,audio_features,spotify:track:1aKvZDoLGkNMxoRYgkckZG,0.69
Seven (feat. Latto) (Explicit Ver.),Jung Kook,0.312,https://api.spotify.com/v1/audio-analysis/2HRgqmZQC0MC7GeNuDIXHN,0.79,183551,0.831,2HRgqmZQC0MC7GeNuDIXHN,0.0,11,0.0797,-4.185,1,0.044,124.987,4,https://api.spotify.com/v1/tracks/2HRgqmZQC0MC7GeNuDIXHN,audio_features,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,0.872
the boy is mine,Ariana Grande,0.149,https://api.spotify.com/v1/audio-analysis/0Lmbke3KNVFXtoH2mMSHCw,0.796,173640,0.623,0Lmbke3KNVFXtoH2mMSHCw,0.0,7,0.0746,-5.819,0,0.0522,98.003,4,https://api.spotify.com/v1/tracks/0Lmbke3KNVFXtoH2mMSHCw,audio_features,spotify:track:0Lmbke3KNVFXtoH2mMSHCw,0.443
We Don't Trust You,Future,0.478,https://api.spotify.com/v1/audio-analysis/1pnDvUuAEd6z8bKEsbAjk1,0.779,226213,0.508,1pnDvUuAEd6z8bKEsbAjk1,0.000439,6,0.243,-7.169,0,0.271,124.091,4,https://api.spotify.com/v1/tracks/1pnDvUuAEd6z8bKEsbAjk1,audio_features,spotify:track:1pnDvUuAEd6z8bKEsbAjk1,0.346
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,0.554,https://api.spotify.com/v1/audio-analysis/4KULAymBBJcPRpk1yO4dOG,0.429,227196,0.453,4KULAymBBJcPRpk1yO4dOG,2e-06,0,0.102,-7.746,1,0.0459,77.639,4,https://api.spotify.com/v1/tracks/4KULAymBBJcPRpk1yO4dOG,audio_features,spotify:track:4KULAymBBJcPRpk1yO4dOG,0.155
Training Season,Dua Lipa,0.0365,https://api.spotify.com/v1/audio-analysis/6Qb7YsAqH4wWFUMbGsCpap,0.815,209488,0.582,6Qb7YsAqH4wWFUMbGsCpap,1.45e-06,5,0.138,-4.5,0,0.0532,123.03,4,https://api.spotify.com/v1/tracks/6Qb7YsAqH4wWFUMbGsCpap,audio_features,spotify:track:6Qb7YsAqH4wWFUMbGsCpap,0.671
PERRO NEGRO,Bad Bunny,0.0887,https://api.spotify.com/v1/audio-analysis/7iQXYTyuG13aoeHxGG28Nh,0.911,162768,0.778,7iQXYTyuG13aoeHxGG28Nh,2.16e-05,5,0.179,-2.248,1,0.262,96.057,4,https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh,audio_features,spotify:track:7iQXYTyuG13aoeHxGG28Nh,0.345
vampire,Olivia Rodrigo,0.177,https://api.spotify.com/v1/audio-analysis/1kuGVB7EU95pJObxwvfwKS,0.511,219724,0.532,1kuGVB7EU95pJObxwvfwKS,0.0,5,0.291,-5.745,1,0.0578,138.005,4,https://api.spotify.com/v1/tracks/1kuGVB7EU95pJObxwvfwKS,audio_features,spotify:track:1kuGVB7EU95pJObxwvfwKS,0.35
Whatever She Wants,Bryson Tiller,0.102,https://api.spotify.com/v1/audio-analysis/57wp7VFnV8X0pSVnYArGeJ,0.82,161342,0.487,57wp7VFnV8X0pSVnYArGeJ,0.0,9,0.0803,-7.358,0,0.0959,96.028,4,https://api.spotify.com/v1/tracks/57wp7VFnV8X0pSVnYArGeJ,audio_features,spotify:track:57wp7VFnV8X0pSVnYArGeJ,0.431
Evergreen,Richy Mitch & The Coal Miners,0.557,https://api.spotify.com/v1/audio-analysis/6me7F0aaZjwDo6RJ5MrfBD,0.555,87000,0.216,6me7F0aaZjwDo6RJ5MrfBD,0.00416,3,0.109,-11.661,1,0.0721,79.109,3,https://api.spotify.com/v1/tracks/6me7F0aaZjwDo6RJ5MrfBD,audio_features,spotify:track:6me7F0aaZjwDo6RJ5MrfBD,0.504
Praise Jah In The Moonlight,YG Marley,0.128,https://api.spotify.com/v1/audio-analysis/3h5TiWTqGxjSjFrbruPFH9,0.66,263040,0.727,3h5TiWTqGxjSjFrbruPFH9,1.31e-05,6,0.524,-4.028,0,0.0441,125.023,4,https://api.spotify.com/v1/tracks/3h5TiWTqGxjSjFrbruPFH9,audio_features,spotify:track:3h5TiWTqGxjSjFrbruPFH9,0.418
Starboy,The Weeknd,0.141,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,0.679,230453,0.587,7MXVkk9YMctZqd1Srtv4MB,6.35e-06,7,0.137,-7.015,1,0.276,186.003,4,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,audio_features,spotify:track:7MXVkk9YMctZqd1Srtv4MB,0.486
Slow It Down,Benson Boone,0.174,https://api.spotify.com/v1/audio-analysis/6WO7IDGLakjO38lsvI2gHB,0.432,161831,0.583,6WO7IDGLakjO38lsvI2gHB,0.0,8,0.0933,-4.682,1,0.0687,181.489,4,https://api.spotify.com/v1/tracks/6WO7IDGLakjO38lsvI2gHB,audio_features,spotify:track:6WO7IDGLakjO38lsvI2gHB,0.544
La Víctima,Xavi,0.152,https://api.spotify.com/v1/audio-analysis/5XVdHRf4CAJ2Jm0uMIy5qY,0.778,156346,0.835,5XVdHRf4CAJ2Jm0uMIy5qY,0.0,11,0.109,-3.598,0,0.0767,140.082,4,https://api.spotify.com/v1/tracks/5XVdHRf4CAJ2Jm0uMIy5qY,audio_features,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,0.666
LA PEOPLE II,Peso Pluma,0.523,https://api.spotify.com/v1/audio-analysis/7EWtB4NKYY3NqBl31PVip9,0.717,141064,0.674,7EWtB4NKYY3NqBl31PVip9,5.43e-06,1,0.0978,-5.269,1,0.0722,132.037,3,https://api.spotify.com/v1/tracks/7EWtB4NKYY3NqBl31PVip9,audio_features,spotify:track:7EWtB4NKYY3NqBl31PVip9,0.705
intro (end of the world),Ariana Grande,0.64,https://api.spotify.com/v1/audio-analysis/7xTbVQSuLpM1SRIKMcaPCI,0.475,92400,0.37,7xTbVQSuLpM1SRIKMcaPCI,0.0,10,0.176,-9.471,1,0.0517,83.84,4,https://api.spotify.com/v1/tracks/7xTbVQSuLpM1SRIKMcaPCI,audio_features,spotify:track:7xTbVQSuLpM1SRIKMcaPCI,0.354
bye,Ariana Grande,0.209,https://api.spotify.com/v1/audio-analysis/7aOgyKhHxAhrzTKkLGF3Ha,0.64,164927,0.662,7aOgyKhHxAhrzTKkLGF3Ha,0.0,2,0.155,-4.856,0,0.0308,110.027,4,https://api.spotify.com/v1/tracks/7aOgyKhHxAhrzTKkLGF3Ha,audio_features,spotify:track:7aOgyKhHxAhrzTKkLGF3Ha,0.436
don't wanna break up again,Ariana Grande,0.428,https://api.spotify.com/v1/audio-analysis/3K6TfJcMDBhZmYrK2oI8If,0.512,174006,0.729,3K6TfJcMDBhZmYrK2oI8If,0.0,9,0.113,-5.224,0,0.21,129.268,5,https://api.spotify.com/v1/tracks/3K6TfJcMDBhZmYrK2oI8If,audio_features,spotify:track:3K6TfJcMDBhZmYrK2oI8If,0.532
Saturn Returns Interlude,Ariana Grande,0.9,https://api.spotify.com/v1/audio-analysis/0go0Gvkh1a57FMud7h1SXd,0.554,42167,0.364,0go0Gvkh1a57FMud7h1SXd,0.000311,9,0.145,-13.442,1,0.151,121.389,5,https://api.spotify.com/v1/tracks/0go0Gvkh1a57FMud7h1SXd,audio_features,spotify:track:0go0Gvkh1a57FMud7h1SXd,0.916
eternal sunshine,Ariana Grande,0.547,https://api.spotify.com/v1/audio-analysis/4llxVu7gt1uG1zN8EcWwi3,0.658,210200,0.503,4llxVu7gt1uG1zN8EcWwi3,0.0,9,0.117,-6.885,1,0.102,159.934,4,https://api.spotify.com/v1/tracks/4llxVu7gt1uG1zN8EcWwi3,audio_features,spotify:track:4llxVu7gt1uG1zN8EcWwi3,0.315
supernatural,Ariana Grande,0.103,https://api.spotify.com/v1/audio-analysis/30eYVvVYrXwVKNCyZ9HpPg,0.591,163382,0.708,30eYVvVYrXwVKNCyZ9HpPg,0.0,8,0.129,-6.84,1,0.129,76.502,4,https://api.spotify.com/v1/tracks/30eYVvVYrXwVKNCyZ9HpPg,audio_features,spotify:track:30eYVvVYrXwVKNCyZ9HpPg,0.554
true story,Ariana Grande,0.474,https://api.spotify.com/v1/audio-analysis/72bYIhu9vxqA14xM3j7Max,0.7,163278,0.535,72bYIhu9vxqA14xM3j7Max,4.02e-06,9,0.312,-6.195,0,0.079,138.037,4,https://api.spotify.com/v1/tracks/72bYIhu9vxqA14xM3j7Max,audio_features,spotify:track:72bYIhu9vxqA14xM3j7Max,0.398
the boy is mine,Ariana Grande,0.151,https://api.spotify.com/v1/audio-analysis/19nGr45kS0vRbuWeEnarRW,0.787,173640,0.631,19nGr45kS0vRbuWeEnarRW,0.0,7,0.0762,-5.829,0,0.0487,97.991,4,https://api.spotify.com/v1/tracks/19nGr45kS0vRbuWeEnarRW,audio_features,spotify:track:19nGr45kS0vRbuWeEnarRW,0.408
"yes, and?",Ariana Grande,0.205,https://api.spotify.com/v1/audio-analysis/5Hqo6dHSTPilabNfzZ3MyP,0.785,214994,0.761,5Hqo6dHSTPilabNfzZ3MyP,4.63e-05,1,0.102,-6.55,1,0.0538,119.052,4,https://api.spotify.com/v1/tracks/5Hqo6dHSTPilabNfzZ3MyP,audio_features,spotify:track:5Hqo6dHSTPilabNfzZ3MyP,0.795
we can't be friends (wait for your love),Ariana Grande,0.0641,https://api.spotify.com/v1/audio-analysis/3nH6JdYvrM7cnLT7xMrEKX,0.646,228639,0.638,3nH6JdYvrM7cnLT7xMrEKX,1.19e-05,5,0.0751,-8.285,1,0.041,115.85,4,https://api.spotify.com/v1/tracks/3nH6JdYvrM7cnLT7xMrEKX,audio_features,spotify:track:3nH6JdYvrM7cnLT7xMrEKX,0.307
i wish i hated you,Ariana Grande,0.84,https://api.spotify.com/v1/audio-analysis/6UUmCyNYOBq4fxfbN1sVrK,0.518,153633,0.247,6UUmCyNYOBq4fxfbN1sVrK,0.0,7,0.103,-9.077,1,0.0332,65.041,4,https://api.spotify.com/v1/tracks/6UUmCyNYOBq4fxfbN1sVrK,audio_features,spotify:track:6UUmCyNYOBq4fxfbN1sVrK,0.275
imperfect for you,Ariana Grande,0.505,https://api.spotify.com/v1/audio-analysis/6GnvnyxQ0ZnCTHFyvrdMhI,0.625,182567,0.402,6GnvnyxQ0ZnCTHFyvrdMhI,0.0,4,0.416,-7.368,1,0.0327,150.07,3,https://api.spotify.com/v1/tracks/6GnvnyxQ0ZnCTHFyvrdMhI,audio_features,spotify:track:6GnvnyxQ0ZnCTHFyvrdMhI,0.306
ordinary things (feat. Nonna),Ariana Grande,0.734,https://api.spotify.com/v1/audio-analysis/1f8raciYdYBqsjv5v21S53,0.705,168500,0.557,1f8raciYdYBqsjv5v21S53,0.0,6,0.325,-8.222,1,0.0716,115.044,4,https://api.spotify.com/v1/tracks/1f8raciYdYBqsjv5v21S53,audio_features,spotify:track:1f8raciYdYBqsjv5v21S53,0.294
supernatural (with Troye Sivan),Ariana Grande,0.053,https://api.spotify.com/v1/audio-analysis/3iJOkxYP59kFJ5OLgHo4Tp,0.575,163382,0.725,3iJOkxYP59kFJ5OLgHo4Tp,0.0,8,0.12,-6.144,1,0.119,76.548,4,https://api.spotify.com/v1/tracks/3iJOkxYP59kFJ5OLgHo4Tp,audio_features,spotify:track:3iJOkxYP59kFJ5OLgHo4Tp,0.51
imperfect for you - acoustic,Ariana Grande,0.715,https://api.spotify.com/v1/audio-analysis/0blfewz7XXrjsZd5WnHwgE,0.561,183133,0.334,0blfewz7XXrjsZd5WnHwgE,0.0,4,0.159,-9.06,1,0.0265,150.114,3,https://api.spotify.com/v1/tracks/0blfewz7XXrjsZd5WnHwgE,audio_features,spotify:track:0blfewz7XXrjsZd5WnHwgE,0.308
true story - a cappella,Ariana Grande,0.919,https://api.spotify.com/v1/audio-analysis/4RSoXPyBHKolShYA6FhvfP,0.631,162088,0.29,4RSoXPyBHKolShYA6FhvfP,0.0,9,0.09,-8.946,0,0.0507,69.313,3,https://api.spotify.com/v1/tracks/4RSoXPyBHKolShYA6FhvfP,audio_features,spotify:track:4RSoXPyBHKolShYA6FhvfP,0.619
"yes, and? (with Mariah Carey) - Remix",Ariana Grande,0.0926,https://api.spotify.com/v1/audio-analysis/1UjPANunXLp0G9hbQNyPh9,0.74,214994,0.776,1UjPANunXLp0G9hbQNyPh9,1.12e-06,8,0.0878,-5.335,1,0.0592,118.982,4,https://api.spotify.com/v1/tracks/1UjPANunXLp0G9hbQNyPh9,audio_features,spotify:track:1UjPANunXLp0G9hbQNyPh9,0.796
intro (end of the world),Ariana Grande,0.671,https://api.spotify.com/v1/audio-analysis/2o1pb13quMReXZqE7jWsgq,0.501,92400,0.373,2o1pb13quMReXZqE7jWsgq,0.0,10,0.177,-9.488,1,0.0493,84.682,4,https://api.spotify.com/v1/tracks/2o1pb13quMReXZqE7jWsgq,audio_features,spotify:track:2o1pb13quMReXZqE7jWsgq,0.38
bye,Ariana Grande,0.217,https://api.spotify.com/v1/audio-analysis/1Rweq7vNjK4kZBbGrmxQsl,0.638,164927,0.647,1Rweq7vNjK4kZBbGrmxQsl,0.0,2,0.156,-4.834,0,0.028,110.003,4,https://api.spotify.com/v1/tracks/1Rweq7vNjK4kZBbGrmxQsl,audio_features,spotify:track:1Rweq7vNjK4kZBbGrmxQsl,0.51
